实习时间,Time,实习单位,Employer,实习岗位,Position,,,,,
2020.7-2021.12,2020.7-2021.12,七山居餐饮公司,SOYA RESTAURANT AS,帮厨(70%),Chief Assistant(70%),,,,,
2019.6.26-2019.9.27,2019.6.26-2019.9.27,重庆大学出版社,Chongqing University Press,翻译(30%),Translator(30%),,,,,
2019.9-2019.12,2019.9-2019.12,北辰会展集团,Norstar Exhibition Group,3D建模师(100%),3D Modeler(100%),,,,,
2019.3-2019.7,2019.3-2019.7,NANSEN OUTDOOR STORE BERGEN AS,NANSEN OUTDOOR STORE BERGEN AS,销售(100%),Saler(100%),,,,,
2018.1-2018.12,2018.1-2018.12,天津美术学院,Tianjin Academic of Fine Art,研究助手(100%),Research-Assistant(100%),"The project of ""Construction of VR Art Museum Platform of Silk Road Sculpture and Mural"" is held by Tianjin 
Academic of Fine Art funded by China National Arts Fund.",,,,
2022.3.24-2022.4.5,2022.3.24-2022.4.5,Bergen Art Book Fair 2022,Bergen Art Book Fair 2022,志愿者,Volunteer,,,,,
2022.5.12-2022.6.30,2022.5.12-2022.6.30,家教,personal tutor,雕塑家教,sculpture tutor,,,,,
2018.9-2022.7,2018.9-2022.7,卑尔根华人学生学者联合会,CSSA in Bergen/Chinese Students and Scholars Association in Bergen,副主席,Vice President,,,,,
2020.12.30-2021.3.13,2020.12.30-2021.3.13,当代艺术交流分享会,Contemporary art exchange and sharing meeting,设计师，主持人，组织者,"Designer, Compere, Organizer",,,,,
2022.2.14-2022.12.1,2022.2.14-2022.12.1,Foodora AS,Foodora AS,外卖员（10小时每周）,Rider (10hours per week),,,,,
2022.7-,2022.7-,卑尔根华人学生学者联合会,CSSA in Bergen/Chinese Students and Scholars Association in Bergen,主席,President,,,,,
2023.7.12-2023.11.7,2023.7.12-2023.11.7,艺术家 - Tim Parry-Williams,Artist - Tim Parry-Williams,艺术家助手,Artist assistant,finishing the art work "Family Silver project",,,,
2023.9-2023.11,2023.9-2023.11,Piksel festival,Piksel festival,志愿者,Volunteer,,,,,
2024.8-2025.8,2024.8-2025.8,七山居餐饮公司,SOYA RESTAURANT AS,艺术家及艺术顾问,Artist and Art Consultant,,,,,
2024.10-2024.11,2024.10-2024.11,Piksel festival,Piksel festival,制作人助手,producer assistant,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
